Section,Page,Demo name,Example ID,Docs link,Environment,Docs OK,Docs note,Sandbox OK,Sandbox note
Cell functions,Custom Cells,Function renderer,example1,https://handsontable.com/docs/vue-data-grid/custom-cells/#example1,prod,PASS,,PASS,
Cell functions,Custom Cells,Vue component renderer,example2,https://handsontable.com/docs/vue-data-grid/custom-cells/#example2,prod,PASS,,PASS,
Cell functions,Custom Cells,Custom editors,example3,https://handsontable.com/docs/vue-data-grid/custom-cells/#example3,prod,PASS,,PASS,
Cell types,Cell type,Built-in cell types example,example1,https://handsontable.com/docs/vue-data-grid/cell-type/#example1,prod,PASS,,PASS,
Cell types,Cell type,Empty cells,example2,https://handsontable.com/docs/vue-data-grid/cell-type/#example2,prod,PASS,,PASS,
Cell types,Numeric cell type,Numeric cell type demo,example1,https://handsontable.com/docs/vue-data-grid/numeric-cell-type/#example1,prod,PASS,,PASS,
Cell types,Date cell type,Date cell type demo,example1,https://handsontable.com/docs/vue-data-grid/date-cell-type/#example1,prod,PASS,,PASS,
Cell types,Time cell type,Time cell type demo,example1,https://handsontable.com/docs/vue-data-grid/time-cell-type/#example1,prod,PASS,,PASS,
Cell types,Checkbox cell type,Checkbox true/false values,example1,https://handsontable.com/docs/vue-data-grid/checkbox-cell-type/#example1,prod,PASS,,PASS,
Cell types,Checkbox cell type,Checkbox template,example2,https://handsontable.com/docs/vue-data-grid/checkbox-cell-type/#example2,prod,PASS,,PASS,
Cell types,Checkbox cell type,Checkbox labels,example3,https://handsontable.com/docs/vue-data-grid/checkbox-cell-type/#example3,prod,PASS,,PASS,
Cell types,Checkbox cell type,Label value as a function,example4,https://handsontable.com/docs/vue-data-grid/checkbox-cell-type/#example4,prod,PASS,,PASS,
Cell types,Select cell type,Usage,example1,https://handsontable.com/docs/vue-data-grid/select-cell-type/#example1,prod,PASS,,PASS,
Cell types,Dropdown cell type,Usage,example1,https://handsontable.com/docs/vue-data-grid/dropdown-cell-type/#example1,prod,PASS,,PASS,
Cell types,Dropdown cell type,Array of values,example2,https://handsontable.com/docs/vue-data-grid/dropdown-cell-type/#example2,prod,PASS,,PASS,
Cell types,Dropdown cell type,Array of objects,example3,https://handsontable.com/docs/vue-data-grid/dropdown-cell-type/#example3,prod,PASS,,PASS,
Cell types,Dropdown cell type,Set the dropdown width,example4,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/dropdown-cell-type/#example4,dev (staging),PASS,,PASS,
Cell types,Dropdown cell type,Set the dropdown height,example5,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/dropdown-cell-type/#example5,dev (staging),PASS,,PASS,
Cell types,Autocomplete cell type,Autocomplete flexible mode,example1,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example1,prod,PASS,,PASS,
Cell types,Autocomplete cell type,Autocomplete strict mode,example2,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example2,prod,PASS,,PASS,
Cell types,Autocomplete cell type,Autocomplete strict mode with asynchronous data,example3,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example3,prod,PASS,,PASS,
Cell types,Autocomplete cell type,Array of values,example4,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example4,prod,PASS,,PASS,
Cell types,Autocomplete cell type,Array of objects,example5,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example5,prod,PASS,,PASS,
Cell types,Autocomplete cell type,The filter option,example6,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example6,prod,PASS,,PASS,
Cell types,Autocomplete cell type,The filteringCaseSensitive option,example7,https://handsontable.com/docs/vue-data-grid/autocomplete-cell-type/#example7,prod,PASS,,PASS,
Cell types,MultiSelect cell type,Array of values,example1,https://handsontable.com/docs/vue-data-grid/multiselect-cell-type/#example1,prod,PASS,,PASS,
Cell types,MultiSelect cell type,Array of objects,example2,https://handsontable.com/docs/vue-data-grid/multiselect-cell-type/#example2,prod,PASS,,PASS,
Cell types,MultiSelect cell type,Other options,example3,https://handsontable.com/docs/vue-data-grid/multiselect-cell-type/#example3,prod,PASS,,PASS,
Cell types,Password cell type,Overview,example1,https://handsontable.com/docs/vue-data-grid/password-cell-type/#example1,prod,PASS,,PASS,
Cell types,Password cell type,Fixed hash length,example2,https://handsontable.com/docs/vue-data-grid/password-cell-type/#example2,prod,PASS,,PASS,
Cell types,Password cell type,Custom hash symbol,example3,https://handsontable.com/docs/vue-data-grid/password-cell-type/#example3,prod,PASS,,PASS,
Cell types,Password cell type,Reveal delay,example4,https://handsontable.com/docs/vue-data-grid/password-cell-type/#example4,prod,PASS,,PASS,
Cell types,Handsontable cell type,Basic example,example1,https://handsontable.com/docs/vue-data-grid/handsontable-cell-type/#example1,prod,PASS,,PASS,
Formulas,Formula calculation,Basic multi-sheet example,example1,https://handsontable.com/docs/vue-data-grid/formula-calculation/#example1,prod,PASS,,PASS,
Formulas,Formula calculation,Data grid example,example-data-grid,https://handsontable.com/docs/vue-data-grid/formula-calculation/#example-data-grid,prod,PASS,,PASS,
Formulas,Formula calculation,Demo: plain-value named expression,example-named-expressions1,https://handsontable.com/docs/vue-data-grid/formula-calculation/#example-named-expressions1,prod,PASS,,PASS,
Formulas,Formula calculation,Demo: formula-based named expressions,example-named-expressions2,https://handsontable.com/docs/vue-data-grid/formula-calculation/#example-named-expressions2,prod,PASS,,PASS,
Formulas,Formula calculation,Demo: custom COMMISSION function,example-custom-functions,https://handsontable-docs-staging.pages.dev/docs/vue-data-grid/formula-calculation/#example-custom-functions,dev (staging),PASS,,WARN,"builds and runs, but hyperformula/typings/* type-only imports are blocked by hyperformula's exports map — they show as TS errors in the StackBlitz editor"
Server-side data,Server-side data,Demo,example1,https://handsontable.com/docs/vue-data-grid/server-side-data/#example1,prod,WARN,renders 0 rows without a backend (expected locally) — verify once on prod,PASS,
Data management,Binding to data,Array of arrays,example1,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example1,prod,PASS,,PASS,
Data management,Binding to data,Array of arrays with a selective display of columns,example2,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example2,prod,PASS,,PASS,
Data management,Binding to data,Array of objects,example3,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example3,prod,PASS,,PASS,
Data management,Binding to data,Array of objects with column as a function,example4,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example4,prod,PASS,,PASS,
Data management,Binding to data,Array of objects with column mapping,example5,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example5,prod,PASS,,PASS,
Data management,Binding to data,Array of objects with custom data schema,example6,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example6,prod,WARN,renders 0 rows in ALL frameworks: dataSchema demo passes data: [] which suppresses startRows — content fix needed,PASS,
Data management,Binding to data,Function data source and schema,example7,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example7,prod,PASS,,PASS,
Data management,Binding to data,No data,example9,https://handsontable.com/docs/vue-data-grid/binding-to-data/#example9,prod,PASS,,PASS,
